331	0
332	0
333	5
4	35347
5	35303
6	35277
5	35407
5	35550
334	1
4	35263
335	1
5	35280
336	0
337	1
5	35169
338	1
5	35132
339	0
340	1
6	35227
341	0
342	0
343	0
344	1
4	35343
345	2
5	35287
6	35255
346	3
4	8305
6	8797
5	35326
347	0
348	0
349	0
350	1
4	35156
351	0
352	2
4	35224
5	35205
353	2
4	35292
5	35279
354	9
4	35350
6	36034
6	36229
6	36519
5	37935
5	38045
5	38412
5	38639
4	40839
355	2
4	35122
5	35104
356	3
4	35297
5	35279
6	35272
357	1
5	35376
358	3
4	35287
5	35265
6	35267
359	0
360	4
6	34392
4	34981
6	34975
5	35310
361	0
362	1
5	35214
363	0
364	2
5	35219
6	35177
365	1
5	35340
366	0
367	1
4	35351
368	1
5	35148
369	0
370	0
